epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2857.14,0.93179,0.84101,1.42039,0.83542,0.8155,0.84974,0.52328,1.32389,0.91758,1.92629,0.0014588,0.0014588,0.0014588
43,2925.82,0.92517,0.83322,1.42548,0.80497,0.83768,0.84531,0.53087,1.26552,0.92344,1.86117,0.0014456,0.0014456,0.0014456
44,2992.72,0.93611,0.8549,1.43188,0.89667,0.81919,0.85277,0.52538,1.3315,0.88727,1.91917,0.0014324,0.0014324,0.0014324
45,3061.7,0.93325,0.82195,1.4268,0.85457,0.79336,0.83705,0.51409,1.30298,0.97571,1.87589,0.0014192,0.0014192,0.0014192
46,3129.74,0.92179,0.82846,1.42239,0.8562,0.79096,0.83087,0.50176,1.26179,0.93451,1.85942,0.001406,0.001406,0.001406
47,3198.69,0.9177,0.81753,1.41362,0.82781,0.78057,0.83499,0.49885,1.32498,1.07508,1.89215,0.0013928,0.0013928,0.0013928
48,3267.02,0.92372,0.82433,1.41853,0.86592,0.81028,0.84533,0.52435,1.26807,0.92683,1.85209,0.0013796,0.0013796,0.0013796
49,3333.79,0.90869,0.80634,1.40471,0.89717,0.80487,0.85962,0.53577,1.27104,0.8938,1.85463,0.0013664,0.0013664,0.0013664
50,3401.12,0.90923,0.81068,1.40528,0.8864,0.82657,0.87219,0.54558,1.25345,0.8215,1.81909,0.0013532,0.0013532,0.0013532
51,3469.02,0.90164,0.80491,1.39844,0.86696,0.84502,0.86093,0.54109,1.21151,0.8775,1.79257,0.00134,0.00134,0.00134
52,3534.77,0.88939,0.78874,1.39885,0.87662,0.80074,0.8614,0.53943,1.24844,0.86136,1.81529,0.0013268,0.0013268,0.0013268
53,3604.04,0.8875,0.79742,1.39319,0.84752,0.82039,0.86003,0.5394,1.31716,0.86321,1.89079,0.0013136,0.0013136,0.0013136
54,3671.56,0.8823,0.77756,1.38359,0.86989,0.81416,0.86432,0.53959,1.23931,0.90321,1.84855,0.0013004,0.0013004,0.0013004
55,3740.15,0.8752,0.76948,1.38379,0.81589,0.80129,0.83043,0.50391,1.3031,0.97346,1.86915,0.0012872,0.0012872,0.0012872
56,3806.61,0.88645,0.79282,1.38353,0.84487,0.84403,0.84596,0.54485,1.23375,0.87808,1.84143,0.001274,0.001274,0.001274
57,3874.81,0.88068,0.76432,1.38416,0.87964,0.82657,0.86707,0.54893,1.18749,0.87806,1.78208,0.0012608,0.0012608,0.0012608
58,3943.18,0.88839,0.77802,1.39342,0.84914,0.81004,0.84663,0.52949,1.27419,0.9025,1.86043,0.0012476,0.0012476,0.0012476
59,4011.08,0.88485,0.77821,1.38936,0.87326,0.81181,0.86197,0.54479,1.23455,0.84836,1.81318,0.0012344,0.0012344,0.0012344
60,4077.56,0.87648,0.77155,1.37784,0.83175,0.82087,0.85736,0.52817,1.27298,0.88384,1.84676,0.0012212,0.0012212,0.0012212
61,4144.62,0.86899,0.76311,1.37568,0.82772,0.79336,0.84854,0.52452,1.26596,0.98379,1.83584,0.001208,0.001208,0.001208
